EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL,AVG_ELEVATION,MIN_ELEVATION,MAX_ELEVATION,FLOOD_COUNT,AVG_SHIM,MAX_SHIM,AVG_AREA,TOTAL_SCALE,AVG_DEPTH_PER_AREA,RECENT_YR,AVG_WATL,MAX_WATL,SENSOR_COUNT,AVG_RN1,MAX_RN1,TOTAL_RN1,UPDATE_TIME,RISK_LEVEL_NUM
11110137,낙원동,2026-06-09 12:51,2026-06-09 09:51,2.989110129060933e-11,안전,27.585873,26.120123,29.527328,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110144,사간동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,36.7748285,35.83161,37.577732,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110187,무악동,2026-06-09 12:51,2026-06-09 09:51,6.176933728540211e-11,안전,112.13071552380951,51.593884,231.64806,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110109,누상동,2026-06-09 12:51,2026-06-09 09:51,3.469952682707184e-06,안전,114.102195,48.63733,225.17155,1.0,0.3,0.3,105.17877846,31.553633538,0.0028522864059891,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110143,화동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,48.58286933333333,43.003056,57.955486,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110172,명륜4가,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,32.345687,28.490662,39.70081,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110104,효자동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,43.58304,42.37252,44.61016,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110139,팔판동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,47.22074799999999,41.96699,54.037773,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110102,신교동,2026-06-09 12:51,2026-06-09 09:51,-1.4438896057273536e-10,안전,71.1919202,46.43929,115.69254,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110146,가회동,2026-06-09 12:51,2026-06-09 09:51,-1.4438896057273536e-10,안전,60.55332082352941,42.89499,75.258545,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
