EMD_CD,EMD_NM,PRED_SEVERITY,RISK_LEVEL,AVG_RN1,TOTAL_RN1,AVG_WATL,AVG_ELEVATION,DONG_AREA_KM2
11200106,사근동,0.0,안전,0.0,0.0,0.0,26.287158626666667,0.6734150926389422
11200110,금호동2가,0.0,안전,0.0,0.0,0.0,75.59529334285715,0.3026773816993027
11200111,금호동3가,0.0,안전,0.0,0.0,0.0,59.30215290243903,0.3275349721672044
11200114,성수동1가,0.0,안전,0.0,0.0,0.0,12.23211640939394,2.856858108705161
11200109,금호동1가,0.0,안전,0.0,0.0,0.0,58.16448189583334,0.443084979146645
11200112,금호동4가,0.0,안전,0.0,0.0,0.0,26.56146417888889,0.8015746204752917
11200122,용답동,0.0,안전,0.0,0.0,0.0,11.75735665464481,1.5883067542438187
11200105,마장동,0.0,안전,0.0,0.0,0.0,17.867098232,1.054034232224229
11200102,하왕십리동,0.0,안전,0.0,0.0,0.0,37.83504877631579,0.623002680276513
11200108,응봉동,0.0,안전,0.0,0.0,0.0,35.18733308484849,0.5581654904202135
11200118,송정동,0.0,안전,0.0,0.0,0.0,11.518827956363635,1.4423280035323391
11200113,옥수동,0.0,안전,0.0,0.0,0.0,30.15687450941704,1.9621002883711576
11215105,자양동,0.0,안전,0.0,0.0,0.0,13.500550862264152,4.608184427334447
11215103,구의동,0.0,안전,0.0,0.0,0.0,40.98494547413793,3.004394929911126
11215107,화양동,0.0,안전,0.0,0.0,0.0,18.01273858076923,1.1300992556925935
11215102,능동,0.0,안전,0.0,0.0,0.0,24.36436796,1.1013564341348925
11215104,광장동,0.0,안전,0.0,0.0,0.0,48.38939672463236,2.393516283671356
11215109,군자동,0.0,안전,0.0,0.0,0.0,16.25236441764706,0.7340879182765916
11215101,중곡동,0.0,안전,0.0,0.0,0.0,77.94094940685224,4.087633885684173
11230106,장안동,0.0,안전,0.0,0.0,0.0,12.760107554307115,2.333552530482036
11230101,신설동,0.0001,주의,0.0,0.0,0.0,18.485912027027027,0.3413672257354402
11230102,용두동,0.0,안전,0.0,0.0,0.0,16.70396062328767,1.2734222580697885
11230107,청량리동,0.0,안전,0.0,0.0,0.0,29.286930348148147,1.199248910986944
11230109,휘경동,0.0,안전,0.0,0.0,0.0,22.858356597435897,1.6885169862237572
11230110,이문동,0.0,안전,0.0,0.0,0.0,24.144634980295567,1.7403408381641765
11230103,제기동,0.0,안전,0.0,0.0,0.0,18.41896843971631,1.189964364092784
11230105,답십리동,0.0,안전,0.0,0.0,0.0,21.38247020157068,1.6594889582900476
11230104,전농동,0.0,안전,0.0,0.0,0.0,28.15873122881356,2.054240254800021
11230108,회기동,0.0,안전,0.0,0.0,0.0,50.78981391111112,0.7669630954119496
11260103,중화동,0.0,안전,0.0,0.0,0.0,21.94451556417112,1.6602124473628994
11260102,상봉동,0.0,안전,0.0,0.0,0.0,31.07996443502825,1.5305438318746294
11260104,묵동,0.0,안전,0.0,0.0,0.0,26.66094820642202,1.897666250947135
11260101,면목동,0.0,안전,0.0,0.0,0.0,58.837676509406656,6.015541907523558
11260105,망우동,0.0,안전,0.0,0.0,0.0,62.348172986577175,3.896640310222108
11260106,신내동,0.0,안전,0.0,0.0,0.0,48.44389018844221,3.5308091682486187
11290102,성북동1가,0.0,안전,0.0,0.0,0.0,51.07041677777778,0.0812812679513607
11290111,삼선동1가,0.0,안전,0.0,0.0,0.0,62.623800208333336,0.2085562374352088
11290101,성북동,0.0,안전,0.0,0.0,0.0,148.8323542384106,2.643164315788287
11290109,동소문동6가,0.0,안전,0.0,0.0,0.0,49.52640054545454,0.099916909101595
11290139,석관동,0.0,안전,0.0,0.0,0.0,25.825944205882355,1.7429776498667908
11290126,보문동4가,0.0,안전,0.0,0.0,0.0,22.3917618,0.0431056343760693
11290127,보문동5가,0.0,안전,0.0,0.0,0.0,23.895897833333333,0.0567039224429389
11290106,동소문동3가,0.0,안전,0.0,0.0,0.0,35.525611,0.0284718118105052
11290108,동소문동5가,0.0,안전,0.0,0.0,0.0,31.4446938,0.0429757476355261
11290107,동소문동4가,0.0,안전,0.0,0.0,0.0,53.292122500000005,0.0935809543445672
11290110,동소문동7가,0.0,안전,0.0,0.0,0.0,50.355626125,0.0703579117051639
11290130,보문동1가,0.0,안전,0.0,0.0,0.0,25.484024444444444,0.0688921575985871
11290115,삼선동5가,0.0,안전,0.0,0.0,0.0,31.36735666666667,0.1197762648829368
11290134,길음동,0.0,안전,0.0,0.0,0.0,60.840977125,1.2365754587688045
11290114,삼선동4가,0.0,안전,0.0,0.0,0.0,33.12630690909091,0.0875790390180637
11290103,돈암동,0.0,안전,0.0,0.0,0.0,78.11838338582677,1.1304697523451568
11290129,보문동7가,0.0,안전,0.0,0.0,0.0,21.45705625,0.0665826243165341
11290105,동소문동2가,0.0,안전,0.0,0.0,0.0,38.4124575,0.0392806985761808
11290122,안암동2가,0.0,안전,0.0,0.0,0.0,34.57864118181818,0.106139441060227
11290121,안암동1가,0.0,안전,0.0,0.0,0.0,39.12324275,0.1026708440371359
11290125,안암동5가,0.0,안전,0.0,0.0,0.0,55.75334327777778,0.9486609614075554
11290112,삼선동2가,0.0,안전,0.0,0.0,0.0,58.60618673076923,0.2292966360020027
11290135,종암동,0.0,안전,0.0,0.0,0.0,43.582360668674696,1.4612734210757896
11290131,보문동2가,0.0,안전,0.0,0.0,0.0,33.13123628571429,0.0642388305942677
11290128,보문동6가,0.0,안전,0.0,0.0,0.0,46.6329569375,0.1426496883039356
11290124,안암동4가,0.0,안전,0.0,0.0,0.0,26.0522175,0.0584531509855701
11290123,안암동3가,0.0001,주의,0.0,0.0,0.0,33.78701925,0.1083084127421047
11290136,하월곡동,0.0,안전,0.0,0.0,0.0,38.434745567307694,1.7932405639859277
11290113,삼선동3가,0.0,안전,0.0,0.0,0.0,44.05498283333333,0.1708405065014391
11290132,보문동3가,0.0,안전,0.0,0.0,0.0,54.18832707692308,0.1114059918000619
11290120,동선동5가,0.0,안전,0.0,0.0,0.0,49.47080525,0.067407548302366
11290118,동선동3가,0.0,안전,0.0,0.0,0.0,43.49759266666666,0.098244888115424
11290119,동선동4가,0.0,안전,0.0,0.0,0.0,50.7553693,0.0867138739018286
11290116,동선동1가,0.0,안전,0.0,0.0,0.0,32.91463944444445,0.0821758997647833
11290104,동소문동1가,0.0,안전,0.0,0.0,0.0,53.9136205,0.0642844598715158
11290117,동선동2가,0.0,안전,0.0,0.0,0.0,31.837101916666665,0.0991515040233332
11290138,장위동,0.0,안전,0.0,0.0,0.0,34.01312413362069,2.0363241009589275
11290133,정릉동,0.0046,주의,0.0,0.0,0.0,195.2561506256463,8.401669082731905
11290137,상월곡동,0.0,안전,0.0,0.0,0.0,54.48454701724138,0.5295840691161673
11305101,미아동,0.0046,주의,0.0,0.0,0.0,61.04317969383698,4.393858093203479
11305104,우이동,0.0046,주의,0.0,0.0,0.0,260.6800433647175,8.904631181410346
11305102,번동,0.0,안전,0.0,0.0,0.0,46.11154419935691,2.677343317609167
