격자 X,격자 Y,EMD_CD
61,129,11320107
61,128,11290138
61,128,11290138
61,128,11350102
61,128,11350102
62,128,11260104
61,128,11350104
61,128,11350102
62,128,11350104
62,129,11350104
62,129,11350105
61,128,11350104
61,129,11350105
61,129,11350105
61,129,11350105
61,129,11350105
61,129,11350105
61,129,11320107
61,129,11320107
61,129,11320107
59,127,11380107
59,127,11410118
59,128,11380107
59,128,11380104
59,128,11380104
59,128,11380108
59,128,11380108
59,127,11380107
59,127,11380107
59,127,11380107
59,127,11380108
59,127,11380101
59,127,11380101
59,127,11440125
58,127,11440127
59,128,11380114
59,127,11410117
60,127,11410110
59,126,11440102
59,127,11440102
59,126,11440111
59,127,11410117
59,127,11410118
59,127,11410111
59,127,11410111
59,127,11410118
59,127,11410117
59,127,11440125
59,127,11440124
59,127,11440125
59,127,11440125
59,127,11440122
59,126,11170118
60,126,11170118
59,126,11170118
59,126,11560110
59,126,11440111
59,126,11560110
59,126,11560110
59,126,11560110
59,126,11560110
59,126,11560115
59,126,11440122
59,126,11440122
59,127,11440120
59,127,11440122
59,127,11440122
58,127,11440127
58,126,11530106
58,126,11470101
58,126,11470102
58,126,11500103
58,126,11470101
58,126,11470101
57,126,11470103
58,126,11470103
57,126,11470103
58,126,11530109
57,126,11470103
58,126,11530107
58,126,11530106
58,126,11530107
58,126,11470101
58,126,11530107
58,125,11530107
58,126,11500103
58,126,11500101
58,126,11500103
58,126,11500103
58,126,11500103
58,126,11470103
58,126,11470101
57,126,11470103
58,126,11470101
58,126,11470103
58,126,11500103
58,126,11470101
57,127,11500106
58,127,11500103
58,127,11500103
57,126,11500106
58,126,11470103
57,126,11500113
57,127,11500109
57,127,11500113
57,127,11500109
58,125,11545101
58,125,11530106
58,125,11545101
58,125,11545101
58,125,11545101
58,125,11545101
58,125,11545101
58,125,11530107
58,125,11530107
58,125,11530111
58,125,11530107
58,125,11530111
57,125,11530111
57,125,11530111
58,125,11545101
58,125,11545101
59,124,11545103
59,125,11545102
59,124,11545103
59,124,11545103
58,126,11560123
59,126,11560133
59,126,11560121
59,126,11590102
58,126,11560123
59,126,11560121
59,125,11530102
59,126,11560123
58,126,11560123
58,126,11470102
59,125,11560132
59,125,11560133
59,125,11560133
59,125,11530102
59,125,11530102
59,125,11560132
59,125,11530102
58,125,11530102
58,125,11530102
59,125,11590102
59,125,11590102
59,125,11590102
59,125,11590103
59,125,11590102
59,125,11620102
59,125,11620102
60,125,11590103
60,125,11620101
60,125,11590107
60,125,11590107
60,125,11620101
60,125,11620101
59,125,11560132
59,125,11530102
59,125,11620102
59,125,11620102
59,125,11620102
59,125,11620101
59,125,11620102
59,125,11620102
60,125,11620102
59,125,11620102
59,125,11620102
59,125,11620102
59,125,11620101
60,125,11620101
59,125,11620102
59,125,11620102
59,125,11620102
59,125,11620102
59,125,11620102
59,124,11545103
59,125,11545102
59,125,11620102
59,125,11620102
59,125,11545102
59,125,11620102
61,125,11650102
61,125,11650108
61,125,11650108
61,125,11650108
60,126,11650107
60,125,11650101
60,125,11650107
60,125,11590106
60,125,11650107
60,125,11650101
60,125,11650101
60,125,11620103
60,125,11620103
60,125,11650101
61,125,11650102
61,125,11650102
61,124,11650104
61,126,11680101
61,126,11650106
61,125,11650108
61,126,11680101
61,126,11650106
61,126,11680108
61,125,11680101
61,125,11680101
61,125,11680103
61,125,11680103
61,125,11680103
61,125,11650108
61,125,11650108
61,125,11650108
61,125,11650102
61,125,11650110
62,125,11680103
62,125,11680103
61,125,11650110
62,125,11650109
62,125,11680114
62,125,11680115
62,126,11710105
62,126,11710103
62,126,11710111
63,125,11710109
63,125,11710109
62,125,11710104
62,126,11710105
63,126,11710112
62,125,11710104
62,125,11710105
62,125,11710108
62,125,11710105
62,125,11680114
62,125,11710108
62,125,11680115
62,125,11710108
62,125,11710108
62,125,11680115
63,125,11710109
62,125,11710106
62,126,11710106
62,125,11710106
62,126,11710105
62,126,11710105
62,125,11680106
62,126,11710111
63,127,11740102
63,126,11740103
63,126,11740103
63,126,11740108
63,126,11740106
63,127,11740101
63,127,11740101
63,126,11740108
62,126,11710103
63,126,11740107
63,126,11740108
62,126,11710103
62,126,11710103
62,126,11710111
62,126,11710111
63,126,11710111
63,126,11740108
63,126,11710111
63,126,11710111
