LAT,LON,ELEVATION
37.69261027861804,127.01665770685726,381.82706
37.69261027861804,127.01759979617886,391.82285
37.69261027861804,127.01854188550045,401.59283
37.69261027861804,127.01948397482205,391.8381
37.69261027861804,127.02042606414365,344.98047
37.69261027861804,127.02136815346523,315.59418
37.69261027861804,127.02231024278683,281.2439
37.69261027861804,127.02325233210843,248.35889
37.69261027861804,127.02419442143002,254.93916
37.69261027861804,127.02513651075162,277.7772
37.69261027861804,127.02607860007322,280.56897
37.69261027861804,127.02702068939482,269.12543
37.69261027861804,127.02796277871641,245.9915
37.69261027861804,127.02890486803801,216.2443
37.69261027861804,127.02984695735961,195.1273
37.69261027861804,127.0307890466812,166.4987
37.69261027861804,127.03173113600279,154.42413
37.69261027861804,127.03644158261078,83.19373
37.69261027861804,127.03738367193237,78.98981
37.69261027861804,127.03832576125397,75.95501
37.69261027861804,127.03926785057557,71.00274
37.69261027861804,127.04020993989717,59.506767
37.69261027861804,127.04115202921876,51.672894
37.69261027861804,127.04209411854035,46.8277
37.69261027861804,127.04303620786195,37.95865
37.69261027861804,127.04397829718354,35.65023
37.69261027861804,127.04680456514834,30.303698
37.69261027861804,127.04774665446993,30.336649
37.69261027861804,127.06282008361546,179.22853
37.69261027861804,127.06376217293706,173.19234
37.69261027861804,127.06470426225866,167.8935
37.69261027861804,127.06564635158026,192.12935
37.69261027861804,127.06658844090185,211.47519
37.69261027861804,127.06753053022345,237.36314
37.69261027861804,127.06847261954505,282.23038
37.69261027861804,127.06941470886665,287.33896
37.69261027861804,127.07035679818824,302.96463
37.69261027861804,127.07129888750984,313.21365
37.69261027861804,127.07224097683142,335.66574
37.69261027861804,127.07318306615302,364.4858
37.69261027861804,127.07412515547462,360.2475
37.69261027861804,127.07506724479622,321.58612
37.69261027861804,127.07600933411781,289.59366
37.69261027861804,127.07695142343941,279.32928
37.69261027861804,127.07789351276101,300.8284
37.69261027861804,127.0788356020826,318.08307
37.69261027861804,127.0797776914042,337.71854
37.69261027861804,127.0807197807258,366.8424
37.69261027861804,127.0816618700474,405.2349
37.69261027861804,127.08260395936898,422.91666
37.69166818929644,127.0081789029629,550.0097
37.69166818929644,127.0091209922845,545.10754
37.69166818929644,127.01006308160609,520.07135
37.69166818929644,127.01100517092767,497.61325
37.69166818929644,127.01194726024927,473.02023
37.69166818929644,127.01288934957087,437.99554
37.69166818929644,127.01383143889247,416.17874
37.69166818929644,127.01477352821406,416.9112
37.69166818929644,127.01571561753566,399.52444
37.69166818929644,127.01665770685726,366.4276
37.69166818929644,127.01759979617886,360.96744
37.69166818929644,127.01854188550045,367.86774
37.69166818929644,127.01948397482205,356.1188
37.69166818929644,127.02042606414365,351.24884
37.69166818929644,127.02136815346523,319.42722
