EMD_CD,EMD_NM,DONG_AREA_M2,DONG_AREA_KM2
11260103,중화동,1660212.4473628993,1.6602124473628994
11260104,묵동,1897666.250947135,1.897666250947135
11260105,망우동,3896640.310222108,3.896640310222108
11260106,신내동,3530809.1682486185,3.5308091682486187
11290101,성북동,2643164.315788287,2.643164315788287
11290102,성북동1가,81281.26795136077,0.08128126795136077
11290103,돈암동,1130469.7523451569,1.1304697523451568
11290104,동소문동1가,64284.459871515835,0.06428445987151583
11290105,동소문동2가,39280.69857618087,0.03928069857618087
11290106,동소문동3가,28471.81181050529,0.028471811810505288
11290107,동소문동4가,93580.95434456726,0.09358095434456726
11290108,동소문동5가,42975.74763552615,0.042975747635526154
11290109,동소문동6가,99916.90910159505,0.09991690910159505
11290110,동소문동7가,70357.91170516389,0.0703579117051639
11290111,삼선동1가,208556.23743520887,0.20855623743520887
11290112,삼선동2가,229296.63600200278,0.22929663600200278
11290113,삼선동3가,170840.50650143914,0.17084050650143914
11290114,삼선동4가,87579.03901806373,0.08757903901806373
11290115,삼선동5가,119776.26488293688,0.11977626488293688
11290116,동선동1가,82175.89976478337,0.08217589976478337
11290117,동선동2가,99151.50402333325,0.09915150402333325
11290118,동선동3가,98244.88811542407,0.09824488811542406
11290119,동선동4가,86713.87390182866,0.08671387390182866
11290120,동선동5가,67407.54830236603,0.06740754830236603
11290121,안암동1가,102670.84403713595,0.10267084403713594
11290122,안암동2가,106139.441060227,0.106139441060227
11290123,안암동3가,108308.41274210475,0.10830841274210475
11290124,안암동4가,58453.15098557014,0.058453150985570135
11290125,안암동5가,948660.9614075554,0.9486609614075554
11290126,보문동4가,43105.63437606932,0.04310563437606932
11290127,보문동5가,56703.922442938994,0.056703922442938995
11290128,보문동6가,142649.68830393566,0.14264968830393565
11290129,보문동7가,66582.62431653414,0.06658262431653414
11290130,보문동1가,68892.15759858715,0.06889215759858715
11290131,보문동2가,64238.830594267754,0.06423883059426776
11290132,보문동3가,111405.99180006194,0.11140599180006194
11290133,정릉동,8401669.082731904,8.401669082731905
11290134,길음동,1236575.4587688046,1.2365754587688045
11290135,종암동,1461273.4210757897,1.4612734210757896
11290136,하월곡동,1793240.5639859277,1.7932405639859277
11290137,상월곡동,529584.0691161673,0.5295840691161673
11290138,장위동,2036324.1009589273,2.0363241009589275
11290139,석관동,1742977.6498667907,1.7429776498667908
11305101,미아동,4393858.0932034785,4.3938580932034785
11305102,번동,2677343.317609167,2.677343317609167
11305103,수유동,7668089.3914894555,7.668089391489455
11305104,우이동,8904631.181410346,8.904631181410346
11320105,쌍문동,2784858.828785717,2.784858828785717
11320106,방학동,4068481.0179655403,4.06848101796554
11320107,창동,4264602.580911979,4.264602580911979
11320108,도봉동,9560783.99392124,9.560783993921241
11350102,월계동,4287540.69985204,4.28754069985204
11350103,공릉동,8240542.82491811,8.24054282491811
11350104,하계동,2025272.854078978,2.025272854078978
11350105,상계동,15802231.2575457,15.802231257545701
11350106,중계동,5246776.610701752,5.246776610701752
11380101,수색동,1291798.9202115352,1.2917989202115352
11380102,녹번동,1793503.5110668407,1.7935035110668407
11380103,불광동,4517947.2159429295,4.51794721594293
11380104,갈현동,1945573.0384818232,1.945573038481823
11380105,구산동,1388982.3750264125,1.3889823750264125
11380106,대조동,851356.8577659474,0.8513568577659474
11380107,응암동,2617126.5231346027,2.6171265231346026
11380108,역촌동,1156423.6645742818,1.1564236645742818
11380109,신사동,1852907.2502901102,1.8529072502901103
11380110,증산동,809098.3755335901,0.8090983755335901
11380114,진관동,11564780.925895842,11.564780925895843
11410101,충정로2가,127290.64069580345,0.12729064069580345
11410102,충정로3가,255118.90534767372,0.25511890534767373
11410103,합동,43437.61133226103,0.04343761133226103
11410104,미근동,77397.92494284811,0.07739792494284811
11410105,냉천동,115163.14645341277,0.11516314645341277
11410106,천연동,153314.55258147992,0.1533145525814799
11410107,옥천동,54364.82483464441,0.05436482483464441
11410108,영천동,135965.61197027986,0.13596561197027987
11410109,현저동,528112.0058481887,0.5281120058481886
11410110,북아현동,1075739.6734023802,1.0757396734023803
11410111,홍제동,3142874.8307588617,3.1428748307588616
11410112,대현동,465299.3172636537,0.4652993172636537
11410113,대신동,267207.90372658684,0.2672079037265868
11410114,신촌동,863413.6370498529,0.8634136370498529
