EMD_CD,EMD_NM,DONG_AREA_M2,DONG_AREA_KM2
11410115,봉원동,431301.63524062955,0.43130163524062953
11410116,창천동,606548.4718482684,0.6065484718482684
11410117,연희동,3010866.7478904687,3.0108667478904687
11410118,홍은동,3673174.758754433,3.673174758754433
11410119,북가좌동,1401408.6348301796,1.4014086348301795
11410120,남가좌동,1260819.1733227111,1.2608191733227112
11440101,아현동,787660.8604468191,0.7876608604468192
11440102,공덕동,766118.7374206587,0.7661187374206587
11440103,신공덕동,241268.7419699111,0.24126874196991108
11440104,도화동,580614.6625176107,0.5806146625176107
11440105,용강동,301415.67245024844,0.3014156724502484
11440106,토정동,114148.54266658348,0.11414854266658349
11440107,마포동,225698.55557110993,0.22569855557110993
11440108,대흥동,606223.9928099837,0.6062239928099836
11440109,염리동,537488.0142372228,0.5374880142372228
11440110,노고산동,308363.46366491844,0.30836346366491846
11440111,신수동,596400.4545194288,0.5964004545194288
11440112,현석동,189216.40202614863,0.18921640202614862
11440113,구수동,50343.53048466607,0.050343530484666076
11440114,창전동,476361.1018540939,0.4763611018540939
11440115,상수동,568957.0991241357,0.5689570991241357
11440116,하중동,94030.35088528888,0.09403035088528888
11440117,신정동,114615.93778926533,0.11461593778926533
11440118,당인동,321839.86999508156,0.3218398699950816
11440120,서교동,1183486.0623233414,1.1834860623233414
11440121,동교동,411273.04947583424,0.41127304947583426
11440122,합정동,1726771.0051950375,1.7267710051950376
11440123,망원동,1741256.2140251708,1.7412562140251708
11440124,연남동,644021.1603474071,0.6440211603474071
11440125,성산동,2554544.140357361,2.554544140357361
11440126,중동,334021.7581140263,0.3340217581140263
11440127,상암동,8394089.137332328,8.394089137332328
11470101,신정동,7185908.989762933,7.185908989762933
11470102,목동,5341682.726069763,5.341682726069763
11470103,신월동,4938880.006925234,4.938880006925234
11500101,염창동,1728676.1693093043,1.7286761693093042
11500102,등촌동,2675556.274845914,2.675556274845914
11500103,화곡동,6344726.410693576,6.344726410693576
11500104,가양동,2401190.5890793744,2.4011905890793743
11500105,마곡동,6241724.238732657,6.241724238732657
11500106,내발산동,1636998.5875393494,1.6369985875393493
11500107,외발산동,1326931.4309271376,1.3269314309271376
11500108,공항동,2909030.158378138,2.909030158378138
11500109,방화동,3881828.2237963323,3.881828223796332
11500110,개화동,4795834.461001014,4.795834461001014
11500111,과해동,2784100.1730194697,2.78410017301947
11500112,오곡동,3738438.9202096313,3.7384389202096315
11500113,오쇠동,986901.1440395871,0.9869011440395871
11530101,신도림동,1391783.1300876222,1.3917831300876222
11530102,구로동,5308140.668290317,5.308140668290317
11530103,가리봉동,407989.47856751696,0.40798947856751694
11530106,고척동,2188826.4334643376,2.1888264334643375
11530107,개봉동,2940415.112132794,2.9404151121327944
11530108,오류동,2265055.5633446695,2.2650555633446694
11530109,궁동,1818962.6438358943,1.8189626438358943
11530110,온수동,844126.051045145,0.844126051045145
11530111,천왕동,1518893.3460519656,1.5188933460519656
11530112,항동,1446921.1695206282,1.446921169520628
11545101,가산동,2507581.3797348775,2.5075813797348774
11545102,독산동,4208873.344259811,4.2088733442598105
11545103,시흥동,6297670.283604088,6.297670283604088
11560101,영등포동,589224.9657778393,0.5892249657778393
11560102,영등포동1가,78972.6620356583,0.0789726620356583
11560103,영등포동2가,312574.9979517752,0.3125749979517752
11560104,영등포동3가,118113.82904118221,0.11811382904118221
11560105,영등포동4가,194527.67914208048,0.19452767914208047
11560106,영등포동5가,94969.22676590506,0.09496922676590505
11560107,영등포동6가,94457.59753399956,0.09445759753399956
11560108,영등포동7가,288401.8839275207,0.2884018839275207
11560109,영등포동8가,158237.5179373419,0.15823751793734192
11560110,여의도동,8438335.354940053,8.438335354940053
11560111,당산동1가,217930.83864395114,0.21793083864395113
11560112,당산동2가,162849.83310617524,0.16284983310617523
11560113,당산동3가,364337.3779830218,0.3643373779830218
11560114,당산동4가,300508.68200759206,0.30050868200759207
