F_SHIM,F_AREA,F_ZONE_NM,F_YR,FLOOD_SCALE,FLOOD_DEPTH_PER_AREA,FLOOD_RISK
0.1,169.38553981,서울특별시 은평구 신사동 338-32 지층 103호,2025,16.938553981000002,0.0005903691667669516,낮음
0.1,66.31441099,서울특별시 은평구 응암동 593-13 1층,2025,6.631441099,0.001507967853549656,낮음
0.1,288.53038076,서울특별시 은평구 증산동 202-4 B01호,2025,28.853038076000004,0.0003465839532620315,낮음
0.1,138.82400664,서울특별시 은평구 역촌동 64-11 지층,2025,13.882400664,0.0007203365067781191,낮음
0.1,164.57034515,서울특별시 은평구 응암동 596-6 지층 좌측,2025,16.457034515,0.0006076428891782026,낮음
0.1,92.57523451,서울특별시 은평구 응암동 595-56 지층,2025,9.257523451,0.0010802025026379813,낮음
0.1,305.18230204,서울특별시 은평구 응암동 595-15 지층,2025,30.518230204000005,0.0003276729985046547,낮음
0.1,308.50117113,서울특별시 은평구 응암동 593-8 지하 101호,2025,30.850117113,0.00032414787805736006,낮음
0.1,181.10170007,서울특별시 은평구 응암동 595-25,2025,18.110170007,0.000552175931873349,낮음
0.1,90.37492459,서울특별시 은평구 응암동 593-21 B01호,2025,9.037492459000001,0.0011065016148413475,낮음
0.1,199.76844156,서울특별시 은평구 응암동 594-85 B01호,2025,19.976844156000002,0.0005005795671182889,낮음
0.1,174.36395438,서울특별시 은평구 응암동 593-14 B02호,2025,17.436395438,0.0005735130311512955,낮음
0.1,121.25513447,서울특별시 은평구 응암동 594-70 지하,2025,12.125513447000001,0.0008247073448649816,낮음
0.1,124.59696135,서울특별시 은평구 응암동 594-13 지층 좌,2025,12.459696135000002,0.0008025877911989706,낮음
0.1,170.26204853,서울특별시 은평구 응암동 594-61 B02호,2025,17.026204853,0.0005873299473568833,낮음
0.1,291.37936409,서울특별시 은평구 역촌동 64-58 성림연립 B01호,2025,29.137936409000005,0.00034319520296952955,낮음
0.1,231.70270291,서울특별시 은평구 불광동 281-89 지하1층 몰디브태닝,2025,23.170270291,0.0004315875418977865,낮음
0.1,166.03406619,서울특별시 은평구 응암동 583-51 지층 뒤,2025,16.603406619,0.0006022860386106888,낮음
0.1,175.72721479,서울특별시 은평구 응암동 594-63 지층,2025,17.572721479000002,0.000569063819280943,낮음
0.1,151.20099645,서울특별시 은평구 역촌동 34-11 b02호,2025,15.120099645,0.000661371302755062,낮음
0.1,164.40422859,서울특별시 은평구 역촌동 63-61 1층,2025,16.440422859,0.0006082568608948942,낮음
0.1,135.04757376,서울특별시 은평구 역촌동 66-39 B1층,2025,13.504757376,0.0007404797969766947,낮음
0.1,144.56318543,서울특별시 은평구 응암동 585-31 지층 좌,2025,14.456318543000002,0.000691739046165538,낮음
